12250856 - visualbert_ualbert-vcr-coco-pre_1e-5_capTrue_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.411'] 
12240007 - visualbert_ualbert-vcr-coco-pre_1e-6_val.pkl : 	 ['Epoch  11 val', ' Macro-F1: 0.220'] 
12240121 - visualbert_ualbert-vcr-coco-pre_5e-4_sb0.5-a_val.pkl : 	 ['Epoch   7 val', ' Macro-F1: 0.217'] 
12240084 - visualbert_ualbert-vcr-coco-pre_5e-4_sb1_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.013'] 
12240124 - visualbert_ualbert-vcr-coco-pre_5e-4_sb2-a_val.pkl : 	 ['Epoch   8 val', ' Macro-F1: 0.217'] 
12240090 - visualbert_ualbert-vcr-coco-pre_5e-4_sb2_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.089'] 
12250861 - visualbert_ualbert-vqa-coco-pre_1e-4_capFalse_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.450'] 
12250835 - visualbert_ualbert-vqa-coco-pre_1e-4_capFalse_cyclic5_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.461'] 
12250853 - visualbert_ualbert-vqa-coco-pre_1e-4_capFalse_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.474'] 
12250859 - visualbert_ualbert-vqa-coco-pre_1e-4_capTrue_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.473'] 
12250833 - visualbert_ualbert-vqa-coco-pre_1e-4_capTrue_cyclic5_val.pkl : 	 ['Epoch  15 val', ' Macro-F1: 0.432'] 
12250851 - visualbert_ualbert-vqa-coco-pre_1e-4_capTrue_macro_val.pkl : 	 ['Epoch  22 val', ' Macro-F1: 0.439'] 
12240131 - visualbert_ualbert-vqa-coco-pre_1e-4_sb1-c_val.pkl : 	 ['Epoch  18 val', ' Macro-F1: 0.421'] 
12240133 - visualbert_ualbert-vqa-coco-pre_1e-4_sb2-c_val.pkl : 	 ['Epoch  16 val', ' Macro-F1: 0.418'] 
12240011 - visualbert_ualbert-vqa-coco-pre_1e-4_val.pkl : 	 ['Epoch  22 val', ' Macro-F1: 0.413'] 
12250865 - visualbert_ualbert-vqa-coco-pre_1e-5_capFalse_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.401'] 
12250839 - visualbert_ualbert-vqa-coco-pre_1e-5_capFalse_cyclic5_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.397'] 
12250857 - visualbert_ualbert-vqa-coco-pre_1e-5_capFalse_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.391'] 
12250863 - visualbert_ualbert-vqa-coco-pre_1e-5_capTrue_affine_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.419'] 
12250837 - visualbert_ualbert-vqa-coco-pre_1e-5_capTrue_cyclic5_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.394'] 
12250855 - visualbert_ualbert-vqa-coco-pre_1e-5_capTrue_macro_val.pkl : 	 ['Epoch  35 val', ' Macro-F1: 0.391'] 
12240008 - visualbert_ualbert-vqa-coco-pre_1e-6_val.pkl : 	 ['Epoch  10 val', ' Macro-F1: 0.225'] 
12240122 - visualbert_ualbert-vqa-coco-pre_5e-4_sb0.5-a_val.pkl : 	 ['Epoch   7 val', ' Macro-F1: 0.228'] 
12240085 - visualbert_ualbert-vqa-coco-pre_5e-4_sb1_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.013'] 
12240125 - visualbert_ualbert-vqa-coco-pre_5e-4_sb2-a_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.028'] 
12240091 - visualbert_ualbert-vqa-coco-pre_5e-4_sb2_val.pkl : 	 ['Epoch   5 val', ' Macro-F1: 0.072'] 
